Feature	Gain	Cover	Frequency
Visa_mfinanciacion_limite_lag1	0.0014214375153139	0.00132660439715862	0.00319150064148103
mcaja_ahorro_dolares	0.00140500581239191	0.00254486906711194	0.00304305875117958
Master_fultimo_cierre_tend6	0.00139422045300287	0.00422094503906591	0.00320210363364542
Visa_Fvencimiento_tend6	0.0013858821323871	0.00151429844367659	0.00269316000975475
mvr_msaldototal_tend6	0.00138375898178935	0.00294114259093013	0.00266135103326159
mvr_msaldototal	0.00137649691319856	0.00166199919866943	0.00201456851123387
mtransferencias_emitidas_tend6	0.00137558921967126	0.00233444277476372	0.00286280788438497
mv_mpagominimo_tend6	0.00136252081530137	0.00194812134011677	0.00253411512728892
mcomisiones_otras_delta1	0.0013509813603093	0.00267048028050124	0.00345657544559075
mpayroll_sobre_edad_lag1	0.00134884408876184	0.00227999163210151	0.00144200693435688
Visa_cconsumos_lag1	0.0013405886275896	0.00211172695197639	0.00292642583737131
Visa_fultimo_cierre	0.00132071116055945	0.00191834913389406	0.00299004379035764
ccaja_seguridad	0.00131144617516372	0.00298072317606219	0.000625576537698939
mtransferencias_recibidas_lag1	0.00130768195730655	0.00239300117513463	0.00322330961797419
tcallcenter	0.00129540850574355	0.000503794210006439	0.000498340631726273
mcuenta_debitos_automaticos	0.0012939457293269	0.00420305810140251	0.00195095055824754
cmobile_app_trx_tend6	0.00129099792490927	0.00312029700827055	0.00315969166498786
mvr_mpagominimo_tend6	0.00128774956026093	0.00244274987544055	0.00254471811945331
ccallcenter_trx	0.00128430056207351	0.00338119508156388	0.00112391716942521
ccallcenter_trx_tend6	0.00128046976965036	0.00360338020507754	0.00190853858958998
dif_transf_lag1	0.00126442259780457	0.00271741864679723	0.00275677796274109
Visa_cconsumos	0.0012575830066378	0.00111664646822263	0.00287341087654936
mvr_Visa_mlimitecompra	0.00124402425201129	0.0012154145699628	0.00267195402542598
Visa_mconsumospesos	0.0012251415008624	0.00101948858162282	0.00318089764931664
